symbol	length	exp_syn	exp_alt
ITPKA	461	1047	3102
PLCB2	1185	2387	8278
TMEM62	643	1322	4465
PAK6	681	1514	4615
ADAM10	748	1414	5318
BCL2L10	204	473	1363
RSL24D1	163	274	1193
GCHFR	84	173	583
MNS1	495	776	3679
BCAR3	825	1706	5719
TTLL7	887	1697	6286
FNBP1L	551	970	3989
KYAT3	454	886	3200
ARHGAP29	1261	2442	8907
RTCA	379	801	2610
CEP68	620	1371	4209
IFT172	1749	3549	12192
CGREF1	301	665	2044
KHK	298	633	2049
ADCY3	1144	2388	7908
PNPT1	179	406	1205
DYNC2LI1	351	671	2488
ACTR2	394	801	2745
PREB	417	944	2809
ABCG5	651	1405	4454
PREPL	727	1359	5184
SLC3A1	685	1285	4880
SIX3	332	746	2242
CENPO	300	632	2068
LRPPRC	1394	2740	9806
CYP2C9	490	966	3444
LOXL4	756	1573	5231
BTBD16	506	1006	3548
KIF11	1056	2062	7442
TACC2	1026	2150	7084
CALHM2	323	711	2196
ARL3	182	358	1280
KIF20B	1780	3193	12827
EXOC6	804	1492	5744
SHTN1	571	1084	4055
FGFR3	806	1814	5440
DBR1	544	1034	3862
TOPBP1	1522	2978	10720
DNAJC13	2243	4365	15822
GPR87	358	700	2522
SLFN12L	588	1109	4183
SATB2	733	1485	5112
AOX1	193	379	1358
BARD1	777	1523	5470
MSTN	375	724	2651
ASNSD1	643	1281	4506
METTL5	209	398	1483
SSB	408	722	2950
CDK15	384	789	2667
PPIG	754	1306	5480
HECW2	1572	3214	10934
CRYGB	175	323	1252
CHRNA1	482	982	3356
WDR12	423	829	2978
ABI2	390	805	2705
ITGAV	1048	2136	7296
SLC40A1	571	1226	3913
SLC35A5	235	466	1649
COL8A1	744	1768	4928
DIRC2	478	1083	3219
GUCA1C	209	374	1507
CCDC54	328	617	2335
COX17	63	122	445
WBP11	641	1386	4383
ATF7IP	1270	2676	8754
LMO3	156	286	1118
GUCY2C	1073	2092	7565
EPYC	322	650	2248
ATP2B1	1220	2459	8521
TSPAN11	253	536	1741
ARNTL2	588	1131	4161
TRHDE	1024	2069	7147
NAP1L1	391	689	2830
OSBPL8	889	1688	6313
SLC16A7	478	982	3320
ASUN	706	1357	4997
BCAT1	386	792	2682
GYS2	703	1395	4932
SLCO1B3	702	1393	4925
ST8SIA1	135	271	944
ABCC9	1549	3182	10759
LIN7A	101	214	695
SYT1	422	812	2986
ACSS3	685	1447	4718
PPP1R12A	1030	2058	7212
HAL	657	1420	4493
TMPO	248	535	1697
CDK17	523	1030	3677
VEZT	460	921	3219
METAP2	455	881	3214
TMCC3	477	953	3340
IRAK3	596	1149	4215
TMEM5	443	839	3148
KIAA0586	1472	2944	10304
MNAT1	309	581	2200
JKAMP	311	635	2164
TRMT5	509	992	3589
C12orf4	552	1038	3930
CCND2	289	600	2001
RAB21	225	455	1570
PTPRB	1997	4073	13900
LYZ	148	293	1039
FAM189A1	539	1246	3605
LIPG	500	988	3512
TGDS	350	657	2493
FOXN3	490	963	3447
PSMC1	440	886	3074
GALC	685	1383	4782
PPWD1	646	1233	4581
PEBP1	187	385	1298
C12orf49	205	393	1452
MOCOS	888	1855	6137
ZNF24	368	720	2592
ZNF397	275	549	1926
PZP	1482	3104	10234
CLEC2D	154	271	1115
LRP6	1613	3221	11296
YPEL5	121	249	840
LMNB1	586	1173	4101
SNCAIP	1016	2040	7104
SNX24	169	334	1187
HS3ST2	367	812	2491
LOC81691	774	1579	5387
XYLT1	959	2044	6587
DNAH3	4116	8047	28997
NUP133	1156	2343	8061
CORO1C	474	912	3354
NUAK1	661	1357	4592
VWF	2813	5733	19584
EMG1	217	470	1483
LPCAT3	487	997	3386
MRPS27	414	816	2910
COL4A3BP	598	1135	4247
HEXB	556	1133	3871
KLHL5	709	1405	4976
UBE2K	200	402	1398
LIAS	269	545	1876
N4BP2	1770	3306	12624
KLF3	345	704	2401
TBC1D1	1168	2320	8192
RSBN1	802	1639	5579
CSDE1	767	1512	5391
CASQ2	399	719	2872
PROX1	737	1447	5186
TMEM206	350	689	2461
HHAT	493	1030	3407
PPP2R5A	486	910	3464
TRAF5	557	1022	3991
HSD11B1	278	570	1932
PPP2R3C	453	821	3256
PSMA6	246	489	1725
REEP5	165	350	1135
MAN2A1	1144	2213	8083
EPB41L4A	686	1339	4835
ENOX1	643	1242	4545
TSC22D1	144	303	993
DGKH	1164	2349	8127
USP22	525	1014	3711
B9D1	204	426	1410
SPECC1	1068	2193	7419
MSMO1	293	512	2125
PALLD	1106	2299	7655
ICE2	982	1906	6932
RORA	556	1061	3943
GPATCH2L	482	980	3358
SNW1	536	1040	3784
POMT2	750	1629	5121
ROCK2	446	832	3182
MIB1	1006	2016	7038
TMEM260	707	1451	4912
AP5M1	490	981	3429
ZNF430	570	1021	4109
MAST4	2429	5162	16699
IPO5	1115	2146	7889
PALB2	1186	2344	8330
KIAA0556	1618	3344	11218
DSG2	1118	2314	7748
NOL4	638	1241	4501
LPIN2	896	1777	6287
NDC80	642	1174	4604
THOC1	657	1222	4691
USP14	494	928	3518
MYOM1	1589	3191	11110
HERC2	4834	10301	33205
DPEP1	411	893	2806
SLC7A5	507	1170	3393
CYBA	195	455	1300
ARL1	181	353	1276
UTP20	2785	5445	19620
COX10	443	984	3003
SREBF1	1147	2722	7601
TTC19	380	792	2628
TNFRSF13B	293	610	2027
STX2	287	539	2044
ADGRD1	874	1862	6004
RIMBP2	1052	2239	7229
BFAR	450	877	3173
CPPED1	122	257	841
KPNA3	521	1042	3647
SFSWAP	951	1988	6571
MPP5	675	1275	4800
CDK2AP1	115	251	784
SCARB1	509	1025	3556
L2HGDH	441	912	3057
C14orf166	244	466	1730
SLC6A4	630	1324	4346
UTP6	597	1104	4269
PSMD11	422	864	2934
TMEM98	201	453	1356
BLMH	455	843	3252
TAOK1	1001	1877	7132
BTBD1	482	1031	3307
AP3B2	1082	2309	7429
CUX2	1486	3277	10097
RASAL1	804	1773	5463
LHX5	402	840	2778
ALDH2	517	1101	3552
ERP29	261	533	1816
ANKRD13A	590	1153	4157
TRPV4	871	1877	5962
RBM19	960	1931	6709
NAA25	972	1879	6869
ZFAND6	208	407	1465
CHRNB4	498	1056	3426
FAH	419	864	2907
MESDC2	234	471	1635
CDH1	882	1871	6067
AARS	968	2013	6699
VAC14	782	1662	5376
TANGO6	1094	2320	7526
ARG2	354	768	2418
TM9SF1	606	1298	4156
IL17B	180	380	1240
NDST1	882	1841	6097
CSNK1A1	325	609	2316
PDGFRB	1106	2368	7586
FAT2	4349	9198	29943
CYSTM1	97	203	670
PFDN1	122	226	872
PSMD9	222	450	1548
ANAPC5	755	1507	5288
BCL7A	210	401	1489
P2RX7	149	279	1062
CIT	2027	4042	14201
CYP46A1	500	1084	3416
GNB5	395	796	2759
MYO5C	1742	3248	12430
AP4E1	1137	2248	7985
FAM214A	1076	2064	7620
MAPK6	721	1329	5160
SECISBP2L	1056	2068	7436
SPPL2A	520	1058	3622
GLCE	617	1193	4360
CORO2B	475	975	3300
THSD4	219	446	1525
SPG11	2443	4686	17301
SLC30A4	429	880	2981
EIF3J	258	472	1850
HACD3	362	699	2559
APH1B	257	554	1759
AAGAB	315	623	2212
TIPIN	301	568	2141
CILP	1184	2449	8207
TRIP4	581	1132	4097
PARP16	323	666	2241
SNX1	557	1106	3907
RAB11A	216	437	1507
DAPK2	370	730	2600
SLC24A1	1099	2253	7638
LACTB	547	1113	3810
PRPF40B	858	1765	5957
CCNT1	726	1476	5058
NEO1	1461	3102	10047
HCN4	1203	2765	8062
SEMA7A	666	1410	4584
LOXL1	574	1269	3897
FLT4	1363	2877	9390
FAF2	445	885	3120
CDHR2	1310	2869	8921
RNF130	384	821	2635
CNOT6	557	1103	3910
TUBGCP3	907	1831	6332
RBM25	843	1601	5986
LTBP2	1821	3849	12540
VSX2	361	776	2473
SERPINA10	444	885	3111
SPAG9	1321	2635	9254
SGCA	387	897	2586
MARS	900	1892	6208
ATP5B	529	1188	3573
RBMS2	407	849	2814
IKZF4	585	1247	4018
PTGES3	160	256	1184
PIK3C3	887	1683	6300
MEOX2	304	608	2128
PHF3	2039	3815	14536
SLC11A2	568	1231	3881
ATF1	271	578	1861
LETMD1	360	761	2479
EIF4B	611	1264	4235
CALCOCO1	690	1423	4787
COPZ1	177	358	1235
MMD	238	465	1677
TSPAN13	204	440	1396
TTC23	393	786	2751
NUP153	1475	3174	10101
FECH	423	866	2941
RAB27B	218	421	1541
ZDHHC2	367	707	2596
ASAH1	395	788	2767
MSR1	451	883	3176
MTUS1	1270	2473	8957
EFCAB1	211	378	1521
MCM4	863	1793	5974
ERICH1	443	853	3134
MYOM2	1465	2948	10237
TWSG1	223	409	1598
SEH1L	360	705	2535
ANKRD12	2062	3717	14841
CEP76	659	1360	4571
RBL2	1139	2249	8002
LPCAT2	544	1150	3746
RPGRIP1L	1235	2290	8825
CACNG4	327	700	2243
WIPI1	446	940	3074
WDR59	974	1996	6770
MTFR1	333	687	2310
CDH19	772	1493	5455
SMAD7	426	943	2891
SMAD2	467	940	3263
RNMT	476	846	3438
DNAJB6	326	666	2268
VIPR2	438	932	3010
KCNH2	1159	2632	7799
RHEB	184	363	1293
SMARCD3	483	1000	3347
KMT2C	4911	9941	34258
PSMB1	241	506	1663
RBFA	242	506	1672
ADNP2	1131	2409	7770
CRISPLD1	500	948	3552
TRPA1	1119	2102	7969
CSPP1	1221	2320	8669
TRAM1	374	750	2616
ARFGEF1	1849	3565	13076
ANXA13	357	720	2493
TMED2	201	399	1410
ARHGAP28	670	1340	4690
RIMS2	1188	2414	8278
EML1	815	1683	5652
YY1	414	836	2890
RCOR1	485	960	3405
MOB3B	216	405	1539
ZNF175	711	1254	5145
CD33	364	802	2474
PIH1D1	290	614	1996
MYH14	508	1138	3434
SCPEP1	452	916	3152
LPO	712	1507	4901
VMP1	406	804	2850
PRR11	360	762	2478
TRIM37	964	1875	6801
PKMYT1	499	1168	3323
LMF1	567	1228	3875
NUBP2	271	618	1821
PKD1	4303	10112	28615
RAB11FIP3	756	1614	5190
TCEB2	161	335	1114
CHTF18	975	2242	6533
RHBDF1	855	1829	5866
CLCN7	901	2062	6047
TELO2	837	1971	5562
AXIN1	862	1813	5945
LIG3	949	1911	6630
RPE65	533	1049	3748
IL12RB2	862	1739	6019
ANKRD13C	506	1016	3538
WLS	541	1046	3823
SLC1A1	524	1123	3593
FAM86B2	330	724	2246
GLIS2	524	1219	3497
CREBBP	2442	5015	16963
MGRN1	576	1244	3940
ALG1	464	1002	3174
DNAJA3	480	1005	3315
UBN1	1134	2419	7787
ZNF423	1284	2435	9121
N4BP1	896	1794	6270
WSB1	421	843	2946
TRAF4	470	967	3263
RGS9	674	1341	4725
ITGA2B	1039	2320	7031
MAPT	758	1688	5134
DHX8	1220	2487	8493
SLC4A1	911	2049	6150
KANSL1	1105	2378	7567
CRISPLD2	497	977	3496
FOXF1	379	825	2586
COTL1	142	280	998
ATP2C2	946	2014	6500
MLYCD	493	1100	3337
METTL2B	378	723	2679
SMURF2	748	1469	5263
GLP2R	553	1168	3809
DNAH9	4486	9031	31343
ARHGAP44	774	1643	5323
CHD5	1954	3828	13758
ERP44	406	755	2899
INVS	895	1806	6249
GINS1	196	384	1380
SLC12A2	1212	2555	8353
SLC27A6	619	1241	4330
FBN2	2912	5502	20706
NLRP1	1375	2892	9483
RNF167	350	772	2378
PITPNM3	974	2087	6679
ISM1	464	927	3249
GNAO1	354	682	2504
CFAP20	193	383	1354
SLC12A3	1020	2170	7010
CSNK2A2	350	669	2481
COQ9	318	677	2185
NLRC5	1866	4071	12723
SRCAP	3230	7651	21419
SETD1A	1707	3814	11549
HSD3B7	196	434	1330
ZNF629	869	1756	6065
PTPN3	839	1677	5874
SEC23B	767	1576	5327
PCSK2	638	1299	4443
DZANK1	752	1539	5229
OGN	298	591	2091
SPTLC1	473	968	3289
CHCHD3	227	452	1591
ZC3H3	948	2198	6334
GSDMD	484	1088	3268
RPL8	257	586	1727
DENND3	1198	2428	8354
DOK5	306	597	2157
TTPAL	342	731	2347
CECR1	511	1005	3594
CECR2	1301	2697	9012
SLC9A3R1	358	772	2450
CHST8	424	927	2889
ATP4A	1035	2228	7087
KIRREL2	633	1518	4179
HPN	417	935	2818
TYROBP	113	271	746
ZBTB32	487	1090	3293
SCN1B	218	434	1528
RBM42	480	1161	3159
VAMP7	260	489	1851
CCNE1	410	786	2904
IMPAD1	359	771	2460
RAB2A	212	415	1493
ANOS1	680	1430	4690
ITCH	903	1760	6367
HCK	41	83	286
CCM2L	433	988	2909
CDKN2C	168	356	1156
TTC39A	550	1079	3871
ACIN1	1341	2843	9226
AJUBA	538	1198	3644
TEP1	2627	5815	17828
CDH20	801	1623	5586
PHLPP1	1717	3773	11680
FBLN1	683	1371	4776
EFCAB6	1501	2888	10621
PPARA	468	927	3285
CELSR1	3014	6671	20455
PIK3R3	461	830	3319
PRDX1	199	390	1401
RPS6KA6	745	1444	5261
POF1B	589	1088	4213
PGS1	556	1232	3772
QRICH2	1663	3551	11416
TIMP2	220	433	1547
LGALS3BP	585	1249	4016
MOV10L1	1211	2477	8422
SHANK3	1730	4089	11481
UPF1	1118	2338	7724
PDE4C	680	1470	4650
ELL	621	1354	4235
MAST3	1309	2988	8793
COPE	308	654	2118
MAU2	613	1291	4226
TMEM59L	342	754	2324
KLHL13	655	1295	4600
CSF2RB	889	1971	6030
RBFOX2	358	789	2433
PAK3	559	1110	3921
TRPC5	973	1912	6845
MID2	735	1439	5176
AMMECR1	333	740	2257
PRKX	358	721	2501
RRAGB	374	723	2643
HUWE1	4374	9219	30147
MAMLD1	774	1644	5322
SIPA1L2	1722	3532	11966
BPI	487	1003	3380
SLA2	261	582	1767
MYH7B	1983	4167	13680
SAMHD1	626	1213	4421
RALGAPB	1494	3047	10399
XRCC1	633	1351	4346
KCNN4	427	980	2863
PAFAH1B3	231	518	1561
MARK4	752	1700	5068
ZNF225	706	1230	5124
GRIK5	980	2191	6629
SIM1	766	1562	5332
HACE1	909	1775	6406
ST3GAL3	444	954	3042
ATRN	1429	2806	10055
SIRPB1	180	425	1195
CNPY4	248	485	1747
RASA4	803	1748	5479
ZSCAN25	465	944	3241
ARPC1A	370	718	2612
MYDGF	173	372	1185
MAP2K2	400	858	2742
HMG20B	286	613	1961
TLE2	743	1622	5065
GNA15	374	753	2613
DPP9	892	1804	6224
ZFR2	939	2135	6316
CCDC94	323	660	2247
PTPRS	1501	3165	10344
TCF3	654	1503	4383
MPND	471	1033	3206
ANKRD24	1236	2832	8292
PIAS4	510	1097	3493
ZMYND8	1168	2286	8226
CSE1L	971	1897	6842
ZNF330	320	561	2319
INPP4B	924	1798	6518
GAB1	694	1396	4850
UCP1	307	677	2086
NOMO3	1267	2680	8723
MAPK3	379	806	2605
EEF2K	725	1425	5100
NXF5	397	774	2799
SYTL4	671	1317	4722
DHTKD1	919	1894	6377
OPTN	577	1086	4107
PHYH	338	657	2385
CRISP3	258	481	1841
AKAP7	84	154	602
SORCS1	1168	2465	8047
MAP3K8	467	934	3269
EPC1	836	1688	5836
MTPAP	582	1166	4072
LDB3	617	1317	4236
WAPL	402	774	2844
SCARF1	830	1804	5666
SMG6	1419	2923	9848
ASPA	313	603	2214
DPH1	443	999	2988
ITGAE	1179	2469	8142
PLD2	933	2009	6388
METTL16	562	1120	3938
SLC27A5	690	1617	4593
ABCA7	2146	5025	14289
ZNF264	627	1201	4442
CNN2	309	625	2156
A1BG	495	1141	3314
CCDC6	474	952	3314
BICC1	506	1080	3474
GGT5	554	1288	3698
RAB36	333	713	2284
CABIN1	2220	4716	15264
SMARCB1	385	766	2699
PRKCQ	706	1295	5059
AKR1C4	323	634	2273
WDR37	494	1042	3404
SLC17A6	582	1181	4057
CAPZA1	286	527	2047
PALMD	551	1043	3916
PLPPR5	321	680	2209
KIF18A	898	1694	6388
BBOX1	387	732	2751
MSH4	936	1871	6553
DGCR2	550	1152	3798
CDC45	566	1101	3993
UFD1L	307	606	2157
MED15	788	1620	5472
ARVCF	962	2254	6404
HIRA	1017	2176	6977
PPM1F	454	994	3092
UBE2R2	238	445	1697
SYP	313	666	2151
ACTR3	418	828	2934
DDX18	670	1329	4701
ARFGAP3	516	1012	3632
PACSIN2	486	899	3475
EP300	2414	4845	16881
SLC25A17	63	142	425
DESI1	168	375	1137
NOVA2	492	1183	3245
PLEKHA4	779	1843	5168
FAM83E	478	1145	3157
MREG	214	414	1512
GRIN2D	1336	3133	8891
AP2S1	142	273	1005
LIG1	919	1981	6290
OPA3	179	402	1209
GYS1	673	1397	4660
EHD2	543	1156	3731
HSD17B14	270	638	1792
STRN4	753	1636	5141
GIPR	419	951	2820
LY9	655	1371	4524
CLNS1A	203	400	1427
P2RX3	397	802	2771
NOX4	578	1146	4056
TYR	529	1010	3751
IL37	218	414	1548
POLR1B	1135	2251	7964
PAX8	450	989	3061
IL1A	271	516	1923
IL1B	269	496	1925
TCF25	676	1422	4662
NAPA	295	554	2101
EED	441	807	3162
HNRNPUL1	767	1541	5362
BLVRB	206	485	1369
MIA	131	285	894
ITPKC	683	1440	4707
KCNK6	313	777	2040
BRD4	1362	2815	9443
IL27RA	636	1430	4294
WIZ	794	1865	5281
ASF1B	202	419	1399
ILVBL	632	1482	4206
FAM32A	112	209	799
NOTCH3	2321	5137	15752
MED26	600	1329	4071
CD44	361	726	2523
COMMD9	198	433	1349
C9	559	1074	3957
LIFR	1097	2125	7748
C6	934	1772	6634
PRKCG	697	1460	4813
PPP1R12C	782	1811	5227
PTPRH	937	1994	6439
NLRP2	1059	2154	7377
ALG6	509	1007	3574
DNAJC6	900	1855	6245
WDR11	1224	2487	8529
PGR	831	1866	5613
BIRC3	604	1169	4267
CEP126	1117	2133	7920
SLC10A3	477	1125	3168
ATP2B3	1220	2602	8378
TNR	1358	2852	9370
LUC7L2	389	746	2755
PARP12	701	1402	4907
P4HA1	534	1049	3757
VPS26A	327	606	2337
PALD1	856	1817	5887
APLP2	763	1466	5401
DDX25	483	956	3391
CDON	1264	2666	8710
FOXRED1	486	1055	3319
DCPS	337	705	2328
SIAE	523	1072	3635
LCN1	176	373	1211
KCNT1	1223	2593	8414
BARHL1	327	749	2194
DBH	244	511	1685
ARID3A	593	1321	4016
ELANE	267	635	1768
MTIF2	727	1448	5095
CCDC88A	1843	3373	13214
ASB3	518	1025	3637
TANC1	1861	3917	12832
LY75	1722	3167	12331
ACVR1	509	1009	3572
IFIH1	1025	1917	7308
CD81	236	488	1636
TOLLIP	246	519	1695
OSBPL5	879	1883	6028
CNRIP1	164	338	1138
PNO1	252	531	1737
TAF1B	588	1069	4223
CNTN3	1028	2117	7135
PDZRN3	1066	2160	7434
CHRDL2	451	941	3118
SPCS2	226	437	1597
ARHGEF17	2063	4693	13874
POLD3	466	922	3272
SELP	830	1636	5834
SUCO	1254	2461	8825
SNRNP40	357	736	2477
DNAJC8	253	458	1819
MECR	373	828	2529
TFCP2L1	479	976	3335
PTPN4	926	1800	6534
CLASP1	1538	3275	10567
EPB41L5	733	1486	5111
LHX4	390	773	2737
FAM20B	409	850	2831
EPAS1	870	1746	6084
EPCAM	314	618	2208
SRBD1	995	1966	6989
SDF4	348	703	2429
SGO1	561	1051	3998
KAT2B	832	1689	5799
FNBP4	1017	2122	7031
NDUFS3	264	568	1808
ACCS	501	1040	3469
CHMP2B	213	393	1524
EIF2AK4	1649	3281	11560
WDR76	626	1255	4379
TYRO3	890	1975	6035
LTK	864	1986	5790
TP53BP1	1972	4010	13738
ZNF106	1883	3747	13200
SLC25A12	87	165	618
LRP2	4655	8781	33114
ABCB11	1321	2680	9209
AKT3	479	893	3418
DESI2	161	320	1129
SYT7	403	823	2804
OSBP	807	1642	5621
ZC2HC1A	325	680	2245
IL7	177	320	1273
CHMP3	222	412	1586
POLR1A	1720	3503	11977
GNLY	145	319	986
VAMP8	100	200	700
CAPG	348	729	2403
MAP4K3	894	1731	6315
RWDD3	195	381	1374
RND3	244	471	1725
USE1	259	558	1773
STAM2	525	1027	3698
GRB14	540	1058	3802
STRN	780	1544	5476
CHIC2	165	306	1179
KDR	1356	2716	9488
LNX1	728	1511	5041
TNFRSF8	595	1313	4042
KIF1B	1770	3560	12370
PKP1	747	1518	5205
STK17B	372	718	2630
GTF3C3	886	1717	6257
COQ10B	238	500	1642
PEX5L	624	1258	4358
USP13	863	1690	6077
PIK3CA	1068	2004	7608
MFN1	741	1441	5228
TAF12	161	322	1127
MAN1C1	450	884	3166
SLC9A1	815	1788	5547
FBXW7	627	1259	4384
GATB	557	1163	3850
EHBP1	1231	2337	8742
SLC7A6OS	309	624	2157
CKLF	152	327	1041
LCAT	440	956	3004
CTCF	727	1358	5185
CDH3	829	1752	5709
IFT46	355	672	2523
NECTIN1	517	1095	3558
SC5D	299	557	2134
ARCN1	511	1019	3580
TREH	583	1210	4037
UPK2	184	462	1194
CBL	906	1892	6262
MCAM	646	1382	4432
TECTA	2155	4268	15127
GPC1	558	1231	3791
FARP2	1054	2172	7314
SLC5A7	580	1248	3972
NGEF	710	1415	4975
SP100	879	1610	6301
DGKD	1214	2511	8415
EFHD1	239	501	1650
DNAJC10	793	1485	5652
TUBB4A	444	904	3092
MCOLN1	580	1249	3971
GPR108	543	1158	3729
SLC25A23	482	1052	3286
DGUOK	277	557	1936
LOXL3	753	1568	5209
ITGA6	1073	2184	7473
HAT1	419	773	2998
ATF2	505	1071	3474
CBLB	982	2022	6816
GPSM2	684	1331	4825
SLC25A24	110	205	785
LAMC2	1193	2392	8345
OSGEPL1	414	855	2871
MCM6	821	1641	5748
CCNT2	730	1429	5141
RAB3GAP1	981	1953	6876
ZRANB3	1079	2067	7644
R3HDM1	1099	2223	7668
DARS	501	972	3537
LCT	1927	3892	13451
AGPS	658	1341	4581
ORC4	436	808	3116
KYNU	465	929	3256
ERO1B	173	331	1226
ARID4B	1312	2421	9387
NID1	1247	2653	8570
CYTIP	359	710	2521
CPOX	454	966	3120
MUL1	352	742	2426
CAPZB	272	536	1912
ECE1	767	1525	5378
EIF4G3	1585	3220	11045
NMU	174	363	1203
PPAT	517	1058	3595
PAICS	425	838	2987
SRD5A3	318	669	2193
KIAA1211	1233	2567	8530
NOA1	698	1531	4751
POPDC2	364	805	2471
POLQ	2590	5093	18217
UPK1B	260	498	1842
GSK3B	420	900	2880
TIMMDC1	175	370	1205
ARHGAP31	1444	3061	9935
CD80	288	573	2019
CHST10	356	689	2515
PDCL3	239	457	1694
TXNDC9	226	416	1618
IL1RL2	575	1139	4036
RPL31	125	263	862
IL18RAP	599	1182	4209
GFM1	770	1572	5358
LXN	222	408	1590
MFSD1	465	973	3212
CASP8	395	730	2825
ALS2	1657	3390	11523
NOP58	529	1019	3742
OCIAD1	245	477	1728
SLAIN2	581	1260	3969
TXK	527	991	3752
GABRA4	554	1140	3846
TOP2B	1626	3084	11550
YWHAE	255	487	1808
ARHGAP24	655	1236	4659
FAM13A	1023	1990	7217
HERC3	1050	2089	7361
HERC6	1022	2010	7188
HERC5	1024	1961	7255
PCDH10	1040	2274	7086
NDST4	872	1713	6135
ANK2	3924	8057	27259
CRYGD	174	336	1230
ADAM23	832	1636	5852
PIKFYVE	2098	4093	14789
BCHE	602	1139	4279
SI	1827	3502	12941
COPS4	406	781	2873
PRKG2	762	1491	5367
RASGEF1B	473	875	3382
SEC31A	969	2006	6715
GPAT3	434	891	3015
CUL3	768	1450	5462
GUCY1B3	619	1216	4355
GRIA2	883	1744	6203
GLRB	497	980	3493
RAPGEF2	1499	2992	10499
FNIP2	1114	2260	7766
C2orf42	574	1192	3974
ADD2	726	1475	5059
PCYOX1	293	613	2024
MXD1	221	422	1567
ZNF638	1978	3822	13980
ATP8A1	1149	2295	8046
SLC30A9	568	1171	3941
TMEM33	68	145	467
SEC22C	303	616	2111
CDH10	788	1609	5483
CD86	275	516	1959
CSTA	98	186	696
SLC4A4	1079	2164	7547
IL21	162	310	1148
FGF2	288	700	1892
BBS7	715	1401	5034
KIAA1109	5005	10033	35012
RBBP5	538	1081	3761
IFT57	429	820	3041
FRMD4A	525	1066	3659
UBE2S	222	513	1485
GZMM	257	615	1698
SHC2	582	1344	3894
PHRF1	1649	3695	11146
PALM	343	759	2328
IL11	199	544	1247
BMPR1B	502	987	3531
RAP1GDS1	516	1030	3614
AGA	346	723	2391
NEIL3	605	1160	4285
RAB17	212	443	1465
MLPH	600	1267	4133
ASB1	335	746	2269
CP	1065	2002	7583
WNT5A	380	747	2673
THRA	490	1004	3406
CNTNAP1	1384	3003	9453
PSMD3	534	1127	3679
RAPGEFL1	456	970	3134
CASC3	703	1542	4785
ATP6V0A1	838	1650	5892
KRT24	525	1106	3619
STAT3	770	1505	5425
FBXL20	436	899	3025
KCNH4	1017	2327	6826
NNT	1086	2412	7362
FGF10	208	404	1468
MTRR	725	1511	5014
FASTKD3	662	1316	4642
NSUN2	767	1506	5397
MECOM	1116	2086	7958
LRRC31	496	978	3486
SERPINI2	405	762	2883
UFSP2	469	922	3299
KLKB1	638	1229	4513
F11	571	1134	4005
SNX25	840	1551	6009
FNDC4	234	536	1570
CAD	2225	4965	15060
POMC	267	553	1850
DNMT3A	912	1854	6354
RAB10	200	375	1425
DNAJC27	273	523	1934
KIF3C	793	1639	5498
FOSL2	326	732	2202
GCKR	625	1333	4292
GPN1	388	784	2708
EFR3B	652	1362	4506
GTF3C2	911	1992	6207
CSPG5	539	1182	3669
TMEM40	233	496	1601
TP63	680	1351	4769
CLDN16	305	644	2101
HRASLS	273	599	1858
ITGA9	1035	2144	7171
FGFRL1	504	1160	3376
MAEA	355	714	2481
ADD1	768	1582	5330
TMEM175	504	1167	3369
KCNN2	579	1202	4009
PLPP1	285	590	1975
GPBP1	480	906	3414
SLC2A9	540	1206	3654
MMRN1	1228	2385	8667
PDE5A	833	1565	5932
PRDM5	630	1119	4551
TRPC3	848	1672	5960
TYK2	1187	2549	8134
MIER2	545	1154	3751
LYL1	280	679	1841
HOOK2	717	1532	4921
COL5A3	1745	4250	11455
ICAM1	532	1236	3552
OLFM2	454	966	3120
KLF1	362	851	2407
RIMS1	1541	3190	10679
C3orf52	217	437	1516
SIDT1	827	1683	5760
PI4K2B	481	934	3395
TBC1D19	526	1055	3679
PPARGC1A	798	1572	5610
SEL1L3	1097	2172	7701
F13A1	732	1463	5125
NUP54	507	1042	3521
CXCL9	125	248	877
11-Sep	429	785	3076
SCARB2	478	945	3357
USO1	973	1879	6878
ANXA3	323	638	2269
ARSB	533	1159	3638
PDE8B	885	1755	6210
RAD18	495	933	3522
SLC12A7	1083	2359	7388
SDHA	664	1436	4540
PDCD6	191	377	1342
MTMR12	637	1206	4527
CEP72	647	1337	4486
SLC9A3	834	1875	5631
XRN1	1706	3257	12097
GRK7	553	1103	3874
GRPEL1	217	440	1513
EVC	992	2083	6845
LMAN2L	348	717	2415
MGAT4A	535	1031	3784
ZAP70	619	1267	4304
PPP2R3A	1150	2165	8185
CEP70	597	1057	4316
ACAD11	780	1560	5460
UBA5	348	672	2460
ASTE1	679	1357	4754
CDV3	258	518	1804
MRPL3	348	717	2415
GALNT7	657	1254	4659
SOX30	753	1661	5116
GCNT2	402	772	2846
BST1	318	663	2199
FAM184B	1060	2081	7459
DGKG	791	1545	5574
KNG1	644	1245	4551
MAP3K13	966	1905	6789
DNAJB11	358	718	2504
FETUB	382	818	2620
DEPDC1B	529	1021	3740
ERCC8	396	780	2784
SSR3	185	371	1294
MGLL	313	686	2131
MCM2	904	1851	6285
RAB7A	207	400	1463
KIAA1257	409	772	2909
ZFR	1074	2247	7419
GOLPH3	298	617	2065
CDH6	790	1610	5500
SUB1	127	227	916
NPR3	541	1145	3724
VCAN	3396	6957	23607
RASGRF2	1237	2463	8670
MSH3	1137	2268	7965
